,Speaker,Speech,Date,Type,Gender,Party,Category
11,SHRI ASADUDDIN OWAISI,"I stand against this Motion. I wonder how  Lok Sabha can speak in different voices. The Lok Sabha should speak in one voice.  Is this Government a Government of one community or one religion or is it the  Government of the people of all religions of the country? I believe this country has  no religion. I respect Maryada Purushottam Ram. Today, India's 17 crore Muslims  are taking themselves to be  strangers and alienated. I will never believe in false and  deceitful things now and will  continue to work within the ambit of the Constitution.  When the Prime Minister replies, will he speak for 140 crore people of India or will  he reply only to  those who care about Hindutva? Let me stand as a tall Indian  Muslim and say that the light of Indian democracy is at its dimmest today.  ","Saturday, February 10, 2024",Union Budget,M,AIMIM,Blame
12,SHRI NABA KUMAR SARANIA,"Judgement on Ram Mandir has been  delivered by the Supreme Court and Ram Mandir has been built under its guidelines.  I just want to say one thing these tribal people of ours are physiolater. They also  want whether it is Sarna wala or Batwa wala, their religion should also get equal  respect. I would like the voices of those people to be heard as well. The history of  Shri Ram ji is related to us also because the tribals supported Him in the battle.  People think that Ram rajya is a dream kingdom where there will be justice, peace  and brotherhood. We hope that there will be justice, peace and tranquility in India in  the seeds of time. ","Saturday, February 10, 2024",Union Budget,M,Independent,Call For Action
13,SHRI DHAIRYASHEEL SAMBHAJIRAO MANE,This is the only  Parliament where we have got the good fortune of honouring Lord Ramchandra ji  upon his arrival in Ayodhya. Today is an auspicious day when we all are progressing  ahead through democratic ways. Two temples have been inaugurated viz. the temple  of Lord Shri Ramchandra ji has been inaugurated at Ram Janmabhoomi and the  biggest temple of democracy has also been inaugurated. The members who are  present in this House are witness to the historic moment. Nepotism was mentioned  in the House. One who progresses ahead through his own hard work should not be  termed as resorting to nepotism. A king's son will not become a king; only the  deserving person will become king.,"Saturday, February 10, 2024",Union Budget,M,Shiv Sena,Neutral
14,SHRI GIRISH CHANDRA,"I thank the voters of the Nagina Parliamentary  Constituency in Uttar Pradesh for giving me the opportunity to work for this temple  of democracy. I also thank the dynamic Prime Minister of this country, who has  taken this country forward by taking several good steps for the welfare of the  country. I would also like to thank Hon. Speaker Sir for giving me the opportunity  to raise the problems and development issues related to the people of my  Constituency.","Saturday, February 10, 2024",Union Budget,M,BSP,Neutral
15,SHRI ANUBHAV MOHANTY,"The way everyone was given an opportunity  to speak in this House, I did not even know how five years of the seventeenth Lok  Sabha passed. Our journey from the old Parliament building to the new Parliament  building has been historic. We have seen so many historic bills being passed here.  Whether it is the matter of triple talaq, the removal of Article 370, the reservation of  women, or replacing British law with Indian laws, for the first time after so many  years of independence, it is a matter of great pride for us. There have been many  sessions in which if the House is disrupted, it causes a big problem and hurts the  heart. The message that reaches the public, especially the youth and young children,  is very sad. My party always believes that no one should come to the well, we always  believe in debates and deliberations. I would like to thank all the leaders and workers  of Biju Janata Dal who elected us here and the people of Kendrapara. I would like  to assure all the people of Odisha who have placed so many expectations on us that  in the coming times also we will work as hard as we have been working to date.","Saturday, February 10, 2024",Union Budget,M,BJD,Appreciate
16,SHRIMATI NAVNEET RAVI RANA,"Hon. Speaker Sir and the experienced  Members of this House never allowed the new Members here to feel that we have  been elected to the Lok Sabha for the first time. We were given a fair opportunity to  raise issues pertaining to our constituency. We learnt a lot from the senior Members  here. If the people of my Parliamentary Constituency Amravati continue to bless me,  I will be able to serve them again in the coming time.","Saturday, February 10, 2024",Union Budget,F,Independent,Neutral
17,SHRI MOHAN MANDAVI,"While speaking on Ram Mandir, I would like  to say that Lord Ram is not a mere imagination. Lord Ram incarnated 22 thousand  crore years ago. Today Ramayana is more popular than Ramcharit Manas. I have  distributed 51 thousand Ramayana in my Constituency and I have been awarded  with the Golden Book of World Records. Only those who are pure can ultimately  seek God. Hon. Prime Minister is a pure Soul and he is preparing human beings for  living in Ram Raj. While working with keeping God in the conscious, every wish is  fulfilled. It is the wish of the Hon. Prime Minister that responsible youth is groomed  in every village. ","Saturday, February 10, 2024",Union Budget,M,BJP,Appreciate
18,SHRIMATI SUPRIYA SADANAND SULE,"I take this opportunity to thank the  Hon. Speaker, the Treasury Benches and the entire Opposition. I don't even know  how these five years went by. It seems as if the results came only yesterday.   Everyone suffered a loss of two years due to COVID-19. The way you and your  entire office worked is commendable. There were many disagreements during these  five years, but the relationship remained intact. This batch of ours will be a batch  which has worked in both old and new buildings.  The place of development this  country has reached in 70 years is due to everyone's hard work. I am deeply grateful  to all of you for supporting us all. I am very grateful to all the people of my  constituency. I cannot express my gratitude to the party right now, because the party  is in a bit of a dilemma. When we come next time, you all should stay together.  Political fights will continue, but there should never be differences and bitterness in  our relations, this is the best thing about democracy.                                                        ","Saturday, February 10, 2024",Union Budget,F,NCP,Neutral
19,SHRI RITESH PANDEY,"This Lok Sabha term has been a very  unforgettable period for me. Big issues like Women's Reservation, Article 370 etc.  were discussed. In these five years, we have learned a lot here. I want to thank all  the Members of our Treasury Benches As well as all our colleagues from the  Opposition for everything. I was elected to this Lok Sabha for the first time.  Everyone held my fingers and explained and taught the practice of this House. In the  17th Lok Sabha, we have had the opportunity to refine ourselves. We are elected  here so that we can represent our people well and work with full force to fight for  their rights in the biggest panchayat of the country, the biggest temple of democracy.","Saturday, February 10, 2024",Union Budget,M,BSP,Appreciate
20,SHRI PRINCE RAJ,"After being selected as a Member of this 17th Lok  Sabha, I said in my first speech that my experience is just like that of a new student  when he goes to a new class in school. It is a matter of our good fortune, a matter of  pride that we have got the opportunity to become a Member of the House at a time  when the House has taken such historic decisions, in which indigenous Parliament  was constructed, Article 370 was removed and things like triple talaq were removed.  During the COVID period indigenous vaccine was made and an important decision  was taken on women's reservation and we got the privilege of being a part of it. It  was a privilege to sit here with all the hon.Members.I would like to thank everyone  from the bottom of my heart. Hon.SupriyaSuleji said that the differences should be  political, not personal. I absolutely support it and we also go by the same ideology  that whatever difference you have, it should be political. A personal relationship is  different and we feel that we have made a personal relationship here with everyone,  we have a connection with everyone. I wholeheartedly thank the people of  Samastipur Lok Sabha constituency for giving me the opportunity to be a part of this  House with their blessings.","Saturday, February 10, 2024",Union Budget,M,Lok Janshakti Party,Appreciate
21,SHRI MAGUNTA SREENIVASULU REDDY,"When I entered into the 12th  Lok Sabha, I felt very happy. That was about 26 years back. It is the temple of  democracy. There are 140 crore people in this country and only 543 Members in this  House. I must appreciate our hon. Prime Minister has actually brought India into the  world map. We have worked like a family in this Parliament. The greatest  opportunity for this 17th Lok Sabha’s Members is the shift from the old Parliament  to the new Parliament. There is no Central Hall here. I request you once again to  create a Central Hall here. In these five years of the Lok Sabha period, the  Government has brought a lot of valuable Bills also. I must thank our hon. Prime  Minister for that. It was a good experience in the 17th Lok Sabha. I cannot forget this  in my lifetime. I actually compliment my colleagues and everybody. When we used  to meet outside the Parliament also generally, like a family we used to celebrate very  happily everything.","Saturday, February 10, 2024",Union Budget,M,YSR Congress,Call For Action
22,SHRI VIRENDRA SINGH,"I salute Hon. Prime Minister for conferring  'Bharat Ratna' on farmer leader Chaudhary Charan Singh ji and Shri M.S.  Swaminathan, who made the country self-reliant in the agriculture sector.","Saturday, February 10, 2024",Union Budget,M,BJP,Neutral
23,SHRI PINAKI MISRA,Many thanks to the Hon. Speaker S for giving ample  opportunity to all Members here to express their views during the 17th Lok Sabha.  The Treasury Benches also deserve thanks for providing proper facilities to all the  Members of Parliament. ,"Saturday, February 10, 2024",Union Budget,M,BJD,Neutral
24,SHRI HAJI FAZLUR REHMAN,"The way Hon. Speaker Sir has conducted  the proceedings in this House, especially during the Covid period, is commendable.  Everyone will remember him in the future because of his good behaviour.","Saturday, February 10, 2024",Union Budget,M,BSP,Neutral
25,SHRI BHARTRUHARI MAHTAB,I especially thank Hon. Speaker Sir for  inspiring the new Members of the Parliament and for giving them opportunities to  express their views in the House. 17th Lok Sabha has added many pages of history  during his term which will make our country more splendid.,"Saturday, February 10, 2024",Union Budget,M,BJD,Appreciate
26,SHRI ADHIR RANJAN CHOWDHURY,"The coming to the close of the  current Winter Session of the Seventeenth Lok Sabha, marks yet an eventful  milestone in our Parliamentary history. The current Lok Sabha too has had its share  of tumultuous and also epoch-making events. We have witnessed the inauguration,  opening and shifting of our Parliamentary business to the new Parliament House.  We have commenced the journey of our Parliament from this new Parliament House  from 19th September 2023 onwards. I would like to recall the first Session of the  current Lok Sabha when Shri Om Birla was elected as the Speaker, Lok Sabha. Right  from the day of assuming Office, Shri Birla has been steadfastly taking and is  continuing to take a number of initiatives for smoothening and improving the  Parliamentary practices and processes and providing better amenities to the hon.  Members be it accommodation, medical facilities, transport, or appropriate support  mechanism for discharging one’s Parliamentary duties. Being the Chairperson of the  Public Accounts Committee, I am particularly grateful to the Speaker for his  leadership and guidance in holding the centennial celebrations of the PAC on a grand  scale in December, 2021.  The event was truly epoch-making in the history of the  Indian Parliament and its Committees. While we have discussed, debated and voted  upon a number of matters of public importance, we have also had a fair share of  adjournments and loss of business time of the House. This is a part and parcel of our  democratic process. Debate and discussion are the hallmarks of our Parliamentary  system. Despite the pulls and pressures of the times, the hon. The speaker has always  maintained his composure and tried to accommodate all sections of the House in  expressing their viewpoints and conducted the proceedings of the House with  diligence and dignity. The Opposition in the House played its role responsibly in  raising and debating on issues of immense public interest and concern that included  the fallout of the COVID pandemic on the common people, the threat posed to our  nation’s security, problems posed by pollution, rising levels of unemployment and  the effect of increasing inflationary pressures on the lives of common people. In the  previous Session, we witnessed an unfortunate incident of security breach in the  Parliament House which obviously is not a good sign and does not augur well. I am  sure that we will not be witnessing such incidents or face any form of security threat  in future. In statistical terms, the 17th Lok Sabha has been very productive with a  very significant number of legislations passed, questions posed, matters of public  importance raised during the Zero Hour and under Rule 377 and discussions held on  matters of public importance. As a responsible Opposition, we have always  endeavoured to strengthen our parliamentary system of governance and will  continue to do so. My Party has always stood and fought for preserving, protecting  and upholding our hard-earned freedom and democratic rights and we always  continue to do so. I would like to place on record my appreciation for the immense  amount of hard work and labour that the Secretariat staff, who work under the  administrative control of the Secretary-General have put and ensured that the  sessions of the House were held with precision and perfection. As the Leader of the  largest Opposition Party in the House, I would take this opportunity to express my  thanks and gratitude to the hon. Speaker for his help and support. ","Saturday, February 10, 2024",Union Budget,M,INC,Neutral
27,DR. KALANIDHI VEERASWAMY,"I would like to highlight the status of  the Indian economy since the pre-Independence era. After we got our Independence  in 1947 from British rule, India’s GDP was only about one per cent of the world’s  GDP. Our Government at that time faced the biggest challenge of nation-building.  Many things had to be taken care of. Poverty was the biggest threat to our nation at  that point in time. The Green Revolution and White Revolution were focused upon  to improve agricultural production and milk production. In 1991, the economy of the  country opened up and improved under the capable leadership of the then Prime  Minister, Mr P.V. Narasimha Rao and the Finance Minister Dr Manmohan Singh.  After assuming office, our Hon. Prime Minister promised that two crore jobs would  be offered to people every year and that the prices of gas and petrol would be halved.  Adding further it was also claimed that the exchange rate of the US dollar would be  reduced but even after ten years today there is no mention of these things in the  White Paper presented  by the Government. It does not find mention of  demonetization, its effects and achievements. All the opposition parties have been  asking for the same. The whole exercise of demonetization seems futile as there is  no mention of the same. This Government has only increased the cess throughout  the country since 2014. Over the last two years, the Government has imposed  windfall tax on oil companies. This windfall tax is for making excessive profits and  it has been informed that the cost of petrol and diesel is now market-driven and not  under their control. The Government claims to have alleviated 25 crore people out  of poverty but it is far from the truth. During the COVID period, eighty crore people  had to be provided free rations which is something commendable. Now after that  pandemic is over, the same promise has been repeated for the next five years. The  dependence of 80 crore people, which accounts for  55 per cent of the country's  population, on free ration for sustenance is a sad state of affairs. With reference to  the scams highlighted by the Hon. Minister, I would like to ask the Government why  no action had been taken by the present Government during their rule for ten years.  The Government is only interested in making accusations against the Opposition. A  Commission should have been set up to inquire into the CAG report to bring out the  truth. ","Friday, February 9, 2024",Union Budget,M,DMK,Blame
28,SHRI GIRISH CHANDRA,"Our party is of the opinion that before the next  Lok Sabha general elections, the game of making serious allegations and counter- allegations and proving each other wrong and anti-people by issuing black papers  and white papers between the Congress Party and the BJP is nothing but selfishness.  How can the country, public interest and public welfare be possible through such  narrow politics? Today, crores of people of the country are constantly suffering from  stressful life due to high inflation, immense poverty, unemployment, plight of  farmers and plight of rural India etc. It is very important for all political parties to  give up selfishness and hatred etc. and make a united effort on the most pressing  national problems of the country. The correct assessment of the policy and activities  of every Government depends on the better livelihood of the people and their  happiness and happy life. The record of both the Congress and BJP Governments in  this matter is neither remarkable nor commendable. If the record of UPA's 10-year  tenure had been excellent then BJP would not have got a chance to come to power  in the country. Similarly, if the tenure of the present Government in the last 10 years  had been excellent in terms of public interest, public welfare, national interest, social  and religious harmony, peace and order etc., then crores of people would  have  never  been so troubled and miserable in every sphere of life. Lack of expected  increase in the per capita income of the people of the country, big capitalists  becoming more prosperous, SC, ST and OBC reservations being made inactive and  ineffective and no significant reduction in corruption in common life, are some of  the issues for public interest. There are specific issues which continue to disturb  people and which are diverting the country from its ambitious objective of equitable  and welfare development. It would have been good if the development of the  country's economy had been employment-oriented rather than employment-free and  the benefits of this development would have been available to all sections of the  society. I demand that the way you have honoured Karpoori Thakur ji with Bharat  Ratna, in the same way if you honour Shri Kanshi Ram with Bharat Ratna then crores  of Dalits, backward classes, Muslims, people of all sections of the society will  be  happy.","Friday, February 9, 2024",Union Budget,M,BSP,Blame
29,SHRI GAURAV GOGOI,"This white paper is not a white paper but an  election stunt. This is an attempt to hide all the failures of the government. It is  regrettable that the order for the release of a drug-related criminal in Manipur comes  from the Chief Minister's office. Another report came regarding the Ayushman  Bharat scheme as to what kind of corruption is happening in Ayushman Bharat  today. The audit noted that around 7.5 lakh beneficiaries were registered against the  same mobile number and no verification was done. Claims are being filed in the  name of 90 thousand people who have died. No action is being taken on that. Today  ED has become another arm of BJP. ED's job is to catch the corrupt. But today ED  is their special weapon to suppress democracy and the voice of opposition and how  to include corrupt people in the BJP. Had they allowed ED to work, it would have  caught all the people who have absconded abroad today. There are about 31 people  abroad who owe a debt of Rs 40 thousand crore, but today ED is not  apprehending them. If the Prime Minister is so powerful in the world then why does  he not bring back these people hiding abroad?","Friday, February 9, 2024",Union Budget,M,INC,Blame
30,SHRI RAVI SHANKAR PRASAD,"The white paper presented by the  Hon’ble Finance Minister is a very substantial step and the country should know  about it. There is also a discussion going on here to tell the country about it. It is a  very important day because economic reforms are also being discussed. I would like  to thank the Prime Minister who announced to confer Bharat Ratna on the architect  of reforms in the country's economy Narasimha Rao ji, farmers’ leader Charan Singh  ji, and great agricultural scientist Dr. Swaminathan ji. Our Government honours  those who work for the country. When we visit abroad, we should not criticise our  country. India has moved from the 'fragile five to the powerful five'. We have driven  the country from the world's eleventh economy to the fifth economy and will take it  forward to the third position in the next two years. Earlier, a scam used to be  exposed  every week but now the Government is headed by an honest Prime Minister and no  corrupt person will be spared. If someone indulges in corruption, he or she will  surely be punished. During the UPA regime, scams were committed everywhere.  The 2G scam was carried out under the guise of 'first come first serve'. Land was  taken from people in lieu of offering  them jobs in the Railways. Due to these scams,  the confidence of investors in the country was shaken and they started feeling that it  is no longer appropriate to invest capital in this country. But the situation has  changed after our Government was formed. The IMF and the world's largest  companies are saying today that India is one of the best economies in the world.  Now India has received the highest foreign investment. During the Corona  pandemic, under the leadership of the Hon'ble Prime Minister, the people of the  country were administered   Made in India vaccine free of cost, which has been a big  achievement. Our Government has improved India's economy and today 25 crore  people have been brought Above the Poverty line. India has made great strides in  the digital electronics sector and it is now the second-largest mobile phone  manufacturer in the world. As far as inflation is concerned, during the NDA regime,  the inflation rate was 3.9 per cent in the year 2004. Moving further, during the tenure  of the UPA, the inflation rate was 9.1 per cent in the year 2009, 12.3 per cent in 2010  and 10.5 per cent in 2011. Likewise, when the NDA again formed the Government,  the inflation rate was 6 per cent in 2015 and today it is only 5.5 per cent. It is a  universally acknowledged data. This White Paper is going to be a milestone in  parliamentary history. Our country is moving forward under the leadership of the  Hon'ble Prime Minister because the Government led by him functions with rectitude  and integrity. ","Friday, February 9, 2024",Union Budget,M,BJP,Appreciate
